hotel_id,hotel_name,rating,location,outdoors,ski,activities,food_and_drink,internet,parking,languages_spoken,wellness,outdoor_swimming_pool,spa
apart-in-center-by-seva,Soma Apart-hotel in Center by Seva,9.6,Yerevan,Outdoor furniture | Outdoor dining area | Garden view | Terrace | Picnic area | BBQ facilities,Doesn't have,Doesn't have,Tea/Coffee maker | Barbecue | Grocery deliveries,Free WiFi | In all areas,Free on-site parking,German | English | French | Russian,Doesn't have,Doesn't have,Doesn't have
lux-plaza-parakar12,Lux Plaza Hotel EVN airport,8.3,Arbatʼ,Outdoor furniture | Outdoor dining area | Garden view | Picnic area | BBQ facilities,Doesn't have,Doesn't have,Tea/Coffee maker | Minibar | Restaurant | Bar | Fruit | Wine/Champagne | Kid-friendly buffet | Kids' meals | Special diet meals (on request) | Breakfast in the room,Free WiFi | In all areas,Free on-site parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
artanish-beach-resort,Sevan - Artanish Beach Resort,8.8,Artanish,Terrace | Outdoor furniture | Outdoor dining area | Garden view | Picnic area | BBQ facilities,Doesn't have,Doesn't have,Tea/Coffee maker | Barbecue | Restaurant | Bar | Wine/Champagne,Free WiFi | In all areas,Free on-site parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
alpina,"Alpina Resort by Stellar Hotels, Tsaghkadzor",8.5,Tsaghkadzor,Balcony | Garden view | Picnic area | BBQ facilities,Doesn't have,Doesn't have,Tea/Coffee maker | Minibar | Barbecue | Restaurant | Bar | Wine/Champagne | Kids' meals | Special diet meals (on request),Free WiFi | In all areas,Free on-site parking,English | Armenian | Russian,Doesn't have,Spa,Spa tub
amberd,Amberd Hotel,9.3,Byurakan,Balcony | Patio | Outdoor furniture | Garden view | Picnic area,Doesn't have,Doesn't have,Tea/Coffee maker | Minibar | Restaurant | Bar | Fruit | Wine/Champagne | Kids' meals | Special diet meals (on request),Free WiFi | In all areas,Free private parking,English | Armenian | Italian | Russian,Doesn't have,2 swimming pools,Doesn't have
shakaryan-rancho,Shakaryan Rancho&Restaurant,9.7,Dsegh,Balcony | Terrace | Outdoor furniture | Outdoor dining area | Garden view | Picnic area,Doesn't have,Doesn't have,Tea/Coffee maker | Minibar | Restaurant | Bar | Coffee house on site | Wine/Champagne | Kid-friendly buffet | Kids' meals | Special diet meals (on request),Free WiFi,Free on-site parking,English | French | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
concept-by-coaf,Concept Hotel by COAF,9.4,Debed,Terrace | Picnic area | BBQ facilities,Doesn't have,Doesn't have,Tea/Coffee maker | Minibar | Restaurant | Bar | Coffee house on site | Fruit | Kid-friendly buffet | Special diet meals (on request) | Breakfast in the room,Free WiFi | In all areas,Free on-site parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
vell-grey,Vell Grey Hotel,8.9,Martuni,Balcony,Doesn't have,Doesn't have,Tea/Coffee maker,Free WiFi | In all areas,Doesn't have,Russian,Doesn't have,Doesn't have,Doesn't have
haghpat,Haghpat Hotel,9.6,Haghpat,Balcony | Terrace | Picnic area | BBQ facilities,Doesn't have,Doesn't have,Restaurant | Coffee house on site | Fruit | Wine/Champagne | Special diet meals (on request) | Breakfast in the room,Free WiFi | In all areas,Free on-site parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
major-39-s-house-step-anavan,Major's House Hotel,9.5,Stepʼanavan,Garden view | Balcony | Outdoor furniture | Terrace | Picnic area,Doesn't have,Doesn't have,Wine/Champagne,Free WiFi | In all areas,Free on-site parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
vardanants-megri,VARDANANTS HOTEL Meghri,9.2,Meghri,Balcony | Garden view,Doesn't have,Doesn't have,Tea/Coffee maker | Minibar | Restaurant | Bar,Free WiFi | In all areas,Free on-site parking,German | English | Russian,Doesn't have,Doesn't have,Doesn't have
ayg-hyuranoc,Ayg Hotel and Sport Complex Ararat,6.9,Ararat,Balcony | Patio | Terrace | Outdoor furniture | Outdoor dining area | Garden view | Picnic area | BBQ facilities,Doesn't have,Doesn't have,Tea/Coffee maker | Barbecue,Free WiFi | In all areas,Free on-site parking,English | French | Armenian | Russian,Doesn't have,Indoor swimming pool,Doesn't have
araks-gyumri,Araks Hotel Complex,8.8,Gyumri,Picnic area | BBQ facilities,Doesn't have,Doesn't have,Minibar | Restaurant | Bar | Coffee house on site | Fruit | Wine/Champagne | Special diet meals (on request) | Breakfast in the room,Free WiFi,Free on-site parking,English | Russian,Doesn't have,Indoor swimming pool,Doesn't have
h-resort-vagharshapat12,H Resort Hotel Vagharshapat Armenia,9.0,Vagharshapat,Balcony,Doesn't have,Doesn't have,Tea/Coffee maker | Restaurant | Bar | Coffee house on site | Wine/Champagne | Kids' meals | Breakfast in the room,Free WiFi | In all areas,Free private parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
eighty-eight-and-spa,Eighty Eight Deluxe Hotel & Spa,8.4,Tsaghkadzor,Balcony | Picnic area,Doesn't have,Doesn't have,Tea/Coffee maker | Minibar | Restaurant | Restaurant | Restaurant | Bar | Coffee house on site | Fruit | Wine/Champagne | Kids' meals | Special diet meals (on request) | Snack bar,Free WiFi | In all areas,Free on-site parking,English | Armenian | Russian,Hot tub,Indoor swimming pool,Spa tub
altitude-1900-dive-resort-chambarak1,Altitude 1900 Dive Resort - Sevan lake,9.3,Chambarak,Terrace | Garden view | Picnic area,Doesn't have,Doesn't have,Restaurant | Bar | Coffee house on site | Wine/Champagne | Breakfast in the room,Free WiFi,Free on-site parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
