hotel_id,room_type,price_amd,breakfast,max_occupancy,checkin_date,checkout_date,season,day_type
apart-in-center-by-seva,Standard Twin Room,19943,Not Included,2,2026-07-13,2026-07-14,peak,weekday
apart-in-center-by-seva,Deluxe One-Bedroom Apartment,22792,Not Included,2,2026-07-13,2026-07-14,peak,weekday
apart-in-center-by-seva,Suite Apartment,25641,Not Included,2,2026-07-13,2026-07-14,peak,weekday
apart-in-center-by-seva,One-Bedroom Family Apartment,34188,Not Included,3,2026-07-13,2026-07-14,peak,weekday
apart-in-center-by-seva,Standard Twin Room,19943,Not Included,2,2026-07-17,2026-07-18,peak,weekend
apart-in-center-by-seva,Deluxe One-Bedroom Apartment,22792,Not Included,2,2026-07-17,2026-07-18,peak,weekend
apart-in-center-by-seva,Suite Apartment,25641,Not Included,2,2026-07-17,2026-07-18,peak,weekend
apart-in-center-by-seva,One-Bedroom Family Apartment,34188,Not Included,3,2026-07-17,2026-07-18,peak,weekend
apart-in-center-by-seva,Deluxe One-Bedroom Apartment,17094,Not Included,2,2026-11-09,2026-11-10,nonpeak,weekday
apart-in-center-by-seva,Suite Apartment,19943,Not Included,2,2026-11-09,2026-11-10,nonpeak,weekday
apart-in-center-by-seva,One-Bedroom Family Apartment,22792,Not Included,3,2026-11-09,2026-11-10,nonpeak,weekday
apart-in-center-by-seva,Standard Twin Room,15669,Not Included,2,2026-11-13,2026-11-14,nonpeak,weekend
apart-in-center-by-seva,Deluxe One-Bedroom Apartment,17094,Not Included,2,2026-11-13,2026-11-14,nonpeak,weekend
apart-in-center-by-seva,Suite Apartment,19943,Not Included,2,2026-11-13,2026-11-14,nonpeak,weekend
apart-in-center-by-seva,One-Bedroom Family Apartment,22792,Not Included,3,2026-11-13,2026-11-14,nonpeak,weekend
lux-plaza-parakar12,Budget Twin Room,28747,Not Included,2,2026-07-13,2026-07-14,peak,weekday
lux-plaza-parakar12,Double Room,31773,Not Included,2,2026-07-13,2026-07-14,peak,weekday
lux-plaza-parakar12,Deluxe Double or Twin Room,34043,Not Included,2,2026-07-13,2026-07-14,peak,weekday
lux-plaza-parakar12,Comfort Triple Room,30260,Not Included,3,2026-07-13,2026-07-14,peak,weekday
lux-plaza-parakar12,Triple Room with View,34043,Not Included,3,2026-07-13,2026-07-14,peak,weekday
lux-plaza-parakar12,Comfort Quadruple Room,43121,Not Included,4,2026-07-13,2026-07-14,peak,weekday
lux-plaza-parakar12,Budget Twin Room,28747,Not Included,2,2026-07-17,2026-07-18,peak,weekend
lux-plaza-parakar12,Double Room,31773,Not Included,2,2026-07-17,2026-07-18,peak,weekend
lux-plaza-parakar12,Deluxe Double or Twin Room,34043,Not Included,2,2026-07-17,2026-07-18,peak,weekend
lux-plaza-parakar12,Comfort Triple Room,30260,Not Included,3,2026-07-17,2026-07-18,peak,weekend
lux-plaza-parakar12,Triple Room with View,34043,Not Included,3,2026-07-17,2026-07-18,peak,weekend
lux-plaza-parakar12,Comfort Quadruple Room,43121,Not Included,4,2026-07-17,2026-07-18,peak,weekend
lux-plaza-parakar12,Deluxe Double or Twin Room,24965,Not Included,2,2026-11-09,2026-11-10,nonpeak,weekday
lux-plaza-parakar12,Budget Twin Room,26478,Not Included,2,2026-11-09,2026-11-10,nonpeak,weekday
